ID,Name,Age,Photo,Nationality,Overall,Potential,Club,Club Logo,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Height,Weight,Release Clause,Kit Number
209658,L. Goretzka,27,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,87,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€91M,€115K,Right,4,3,High/ Medium,189cm,82kg,€157M,8
212198,Bruno Fernandes,27,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,86,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€78.5M,€190K,Right,3,4,High/ High,179cm,69kg,€155M,8
224334,M. Acuña,30,https://cdn.sofifa.net/players/224/334/23_60.png,Argentina,85,85,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€46.5M,€46K,Left,3,3,High/ High,172cm,69kg,€97.7M,19
192985,K. De Bruyne,31,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,91,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€107.5M,€350K,Right,5,4,High/ High,181cm,70kg,€198.9M,17
224232,N. Barella,25,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,86,89,Inter,https://cdn.sofifa.net/teams/44/30.png,€89.5M,€110K,Right,3,3,High/ High,172cm,68kg,€154.4M,23
212622,J. Kimmich,27,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,89,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€105.5M,€130K,Right,4,3,High/ Medium,177cm,75kg,€182M,6
197445,D. Alaba,30,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,86,86,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€55.5M,€220K,Left,4,3,Medium/ Medium,180cm,78kg,€113.8M,4
187961,22 Paulinho,32,https://cdn.sofifa.net/players/187/961/22_60.png,Brazil,83,83,Al Ahli,https://cdn.sofifa.net/teams/112387/30.png,€28.5M,€61K,Right,4,4,High/ High,183cm,80kg,€48.5M,15
208333,E. Can,28,https://cdn.sofifa.net/players/208/333/23_60.png,Germany,82,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€30.5M,€63K,Right,4,3,Medium/ High,186cm,86kg,€51.9M,23
210514,João Cancelo,28,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€82.5M,€250K,Right,4,4,High/ Medium,182cm,74kg,€152.6M,7
228251,L. Pellegrini,26,https://cdn.sofifa.net/players/228/251/23_60.png,Italy,84,87,Roma,https://cdn.sofifa.net/teams/52/30.png,€55M,€95K,Right,4,3,High/ High,186cm,77kg,€97.6M,7
177003,L. Modrić,36,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,88,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€29M,€230K,Right,4,4,Medium/ Medium,172cm,66kg,€59.5M,10
223848,S. Milinković-Savić,27,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,86,87,Lazio,https://cdn.sofifa.net/teams/46/30.png,€77.5M,€90K,Right,5,4,High/ Medium,191cm,76kg,€137.6M,21
225193,Merino,26,https://cdn.sofifa.net/players/225/193/23_60.png,Spain,83,86,Real Sociedad,https://cdn.sofifa.net/teams/457/30.png,€47M,€49K,Left,3,3,High/ High,189cm,83kg,€102.2M,8
226161,Marcos Llorente,27,https://cdn.sofifa.net/players/226/161/23_60.png,Spain,84,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€48M,€81K,Right,4,3,High/ Medium,184cm,74kg,€102M,14
212616,R. De Paul,28,https://cdn.sofifa.net/players/212/616/23_60.png,Argentina,84,84,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€42M,€85K,Right,3,4,High/ Medium,180cm,70kg,€86.1M,5
181458,I. Perišić,33,https://cdn.sofifa.net/players/181/458/23_60.png,Croatia,84,84,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€26.5M,€130K,Right,5,4,High/ Medium,186cm,80kg,€50.4M,14
228702,F. de Jong,25,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€116.5M,€230K,Right,3,4,High/ Medium,180cm,74kg,€247.6M,21
194765,A. Griezmann,31,https://cdn.sofifa.net/players/194/765/23_60.png,France,83,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€30.5M,€185K,Left,3,4,Medium/ Medium,176cm,73kg,nan,8
193082,J. Cuadrado,34,https://cdn.sofifa.net/players/193/082/23_60.png,Colombia,83,83,Juventus,https://cdn.sofifa.net/teams/45/30.png,€13.5M,€120K,Right,3,5,High/ Medium,179cm,72kg,€23M,11
